library,run,fastq
E3E2_BCPCR_A,E3E2_BCPCR_A_240719,/fh/fast/bloom_j/SR/ngs/pacbio/240719_XiaohuiJu/r64272e_20240719_171534/1_A01/bc2070--bc2070/m64272e_240719_173010.hifi_reads.bc2070--bc2070.fastq.gz
6KE1_BCPCR_B,6KE1_BCPCR_B_240719,/fh/fast/bloom_j/SR/ngs/pacbio/240719_XiaohuiJu/r64272e_20240719_171534/1_A01/bc2071--bc2071/m64272e_240719_173010.hifi_reads.bc2071--bc2071.fastq.gz
E3E2_Lib_A,E3E2_Lib_A_240719,/fh/fast/bloom_j/SR/ngs/pacbio/240719_XiaohuiJu/r64272e_20240719_171534/1_A01/bc2068--bc2068/m64272e_240719_173010.hifi_reads.bc2068--bc2068.fastq.gz
6KE1_Lib_B,6KE1_Lib_B_240719,/fh/fast/bloom_j/SR/ngs/pacbio/240719_XiaohuiJu/r64272e_20240719_171534/1_A01/bc2069--bc2069/m64272e_240719_173010.hifi_reads.bc2069--bc2069.fastq.gz
