acc,tax_id,rank,name,total_count,self_count,ilevel,ileft,iright
SRR15831414,37124,species,Chikungunya virus,43,43,9,1008,1008
SRR14923613,37124,species,Chikungunya virus,2707,2707,9,215,215
SRR7613172,37124,species,Chikungunya virus,85951,85951,9,0,0
SRR20998076,37124,species,Chikungunya virus,89,89,9,271,271
SRR7616102,37124,species,Chikungunya virus,2039,2039,6,0,0
SRR8521516,37124,species,Chikungunya virus,6480,6480,9,253,253
SRR7617097,37124,species,Chikungunya virus,70007,70007,9,0,0
SRR7612764,37124,species,Chikungunya virus,104687,104687,9,0,0
SRR11715762,37124,species,Chikungunya virus,316,316,5,261,261
SRR7616092,37124,species,Chikungunya virus,201175,201175,9,0,0
ERR13917479,37124,species,Chikungunya virus,34,34,9,75,75
SRR31699979,37124,species,Chikungunya virus,162314,162313,9,0,2
SRR5680333,37124,species,Chikungunya virus,34741,34741,7,415,415
SRR10859263,37124,species,Chikungunya virus,2641598,2641514,6,0,2
SRR7616849,37124,species,Chikungunya virus,74304,74304,9,0,0
SRR11356349,37124,species,Chikungunya virus,159,159,5,158,158
SRR27187230,37124,species,Chikungunya virus,949238,949225,9,170,172
SRR6339325,37124,species,Chikungunya virus,59,59,7,33,33
SRR20204143,37124,species,Chikungunya virus,161,161,9,264,264
SRR7617204,37124,species,Chikungunya virus,99949,99949,9,0,0
SRR8521480,37124,species,Chikungunya virus,39,39,6,121,121
SRR23839418,37124,species,Chikungunya virus,334,334,9,206,206
SRR7609171,37124,species,Chikungunya virus,19280,19280,6,0,0
SRR7167606,37124,species,Chikungunya virus,461339,461298,9,0,2
SRR13399349,37124,species,Chikungunya virus,3451345,3451345,9,0,0
SRR7993770,37124,species,Chikungunya virus,54174,54174,6,0,0
SRR6339370,37124,species,Chikungunya virus,247,247,7,30,30
SRR19160140,37124,species,Chikungunya virus,1700903,1700902,9,439,441
SRR15887584,37124,species,Chikungunya virus,104,104,9,536,536
SRR7613704,37124,species,Chikungunya virus,29694,29694,9,0,0
SRR6339286,37124,species,Chikungunya virus,42,42,7,25,25
SRR8521530,37124,species,Chikungunya virus,447470,447470,9,446,446
SRR9693253,37124,species,Chikungunya virus,26,26,5,13,13
SRR6815174,37124,species,Chikungunya virus,56302,56301,9,0,2
SRR23353613,37124,species,Chikungunya virus,30356,30356,9,557,557
SRR30725411,37124,species,Chikungunya virus,146,146,9,408,408
SRR7616859,37124,species,Chikungunya virus,86087,86087,9,0,0
SRR7613417,37124,species,Chikungunya virus,62517,62517,6,0,0
SRR23827012,37124,species,Chikungunya virus,39,39,9,1002,1002
SRR9642997,37124,species,Chikungunya virus,26,26,5,102,102
SRR7613233,37124,species,Chikungunya virus,107754,107754,9,0,0
SRR7617010,37124,species,Chikungunya virus,49453,49453,9,0,0
SRR31699947,37124,species,Chikungunya virus,800165,800163,9,0,2
SRR12789647,37124,species,Chikungunya virus,25965,25965,9,780,780
ERR2200248,37124,species,Chikungunya virus,763966,763966,9,0,0
SRR11715792,37124,species,Chikungunya virus,78,78,5,176,176
SRR7616840,37124,species,Chikungunya virus,37284,37284,9,0,0
SRR28562799,37124,species,Chikungunya virus,9346,9346,9,0,0
ERR13917536,37124,species,Chikungunya virus,24,24,9,64,64
SRR14923615,37124,species,Chikungunya virus,62237,62237,9,444,444
SRR25501501,37124,species,Chikungunya virus,135,135,9,559,559
ERR2162227,37124,species,Chikungunya virus,896,896,9,157,157
SRR7617230,37124,species,Chikungunya virus,62726,62726,9,0,0
SRR25340806,37124,species,Chikungunya virus,64,64,9,275,275
SRR11356354,37124,species,Chikungunya virus,501,501,5,118,118
SRR7617252,37124,species,Chikungunya virus,32985,32985,9,0,0
SRR32463602,37124,species,Chikungunya virus,2926,2926,9,0,0
SRR28752901,37124,species,Chikungunya virus,51,51,9,83,83
SRR7079036,37124,species,Chikungunya virus,1393342,1393309,9,0,2
SRR8108630,37124,species,Chikungunya virus,207,207,6,85,85
SRR21902418,37124,species,Chikungunya virus,30,30,9,117,117
SRR7609208,37124,species,Chikungunya virus,13597,13597,6,0,0
SRR20307493,37124,species,Chikungunya virus,12351,12351,9,289,289
SRR22418646,37124,species,Chikungunya virus,2904,2904,9,1427,1427
SRR5288076,37124,species,Chikungunya virus,197556,197556,7,117,117
SRR26130187,37124,species,Chikungunya virus,174,174,9,270,270
SRR28752905,37124,species,Chikungunya virus,107,107,9,88,88
SRR5680389,37124,species,Chikungunya virus,173469,173469,7,458,458
SRR7616013,37124,species,Chikungunya virus,179767,179767,9,0,0
SRR1984556,37124,species,Chikungunya virus,50,50,7,284,284
SRR3086409,37124,species,Chikungunya virus,1946777,1946777,7,558,558
